model,subgroup_variable,subgroup,n,outcome_rate,auc,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,precision,f1,brier_score,calibration_slope,calibration_intercept,calibration_error,warning
logistic_regression,poverty_group,>400% FPL,328,0.11890243902439024,0.8333776949693905,0.7225609756097561,0.8205128205128205,0.7093425605536332,0.2906574394463668,0.1794871794871795,0.27586206896551724,0.41290322580645167,0.17342259135537477,1.2577384897351798,-2.0005541433914353,2.258292633126615,
logistic_regression,race_ethnicity,Mexican American,193,0.15025906735751296,0.8391505466778806,0.7046632124352331,0.896551724137931,0.6707317073170732,0.32926829268292684,0.10344827586206896,0.325,0.4770642201834863,0.19123779723950374,0.9707888290433737,-1.9305013790116536,1.95971254996828,
logistic_regression,race_ethnicity,Non-Hispanic Asian,207,0.14492753623188406,0.8306967984934087,0.7777777777777778,0.8333333333333334,0.768361581920904,0.23163841807909605,0.16666666666666666,0.3787878787878788,0.5208333333333334,0.1639906492021454,1.0137914377527297,-1.6374978675231433,1.651289305275873,
logistic_regression,race_ethnicity,Non-Hispanic Black,345,0.16231884057971013,0.8022738507167573,0.6869565217391305,0.8392857142857143,0.657439446366782,0.34256055363321797,0.16071428571428573,0.3219178082191781,0.46534653465346537,0.1936945696327308,0.9016734670269455,-1.6466622909810473,1.7449888239541018,
logistic_regression,race_ethnicity,Non-Hispanic White,518,0.14864864864864866,0.8399151868539625,0.6563706563706564,0.8831168831168831,0.6167800453514739,0.3832199546485261,0.11688311688311688,0.2869198312236287,0.43312101910828027,0.19982786902240063,1.2361026365050103,-2.068891939319253,2.304994575824263,
logistic_regression,race_ethnicity,Other Hispanic,132,0.15151515151515152,0.8660714285714285,0.7878787878787878,0.75,0.7946428571428571,0.20535714285714285,0.25,0.39473684210526316,0.5172413793103448,0.14153339426509642,1.212005137424388,-1.4311954579835784,1.6432005954079665,
logistic_regression,race_ethnicity,Other/Multi-racial,68,0.10294117647058823,0.8711943793911006,0.75,1.0,0.7213114754098361,0.2786885245901639,0.0,0.2916666666666667,0.45161290322580644,0.16741784380973418,1.102885535125478,-2.3294993570806812,2.4323848922061595,
random_forest,age_group,18-39,503,0.011928429423459244,0.6492287055667337,0.9880715705765407,0.0,1.0,0.0,1.0,0.0,0.0,0.018475469682963666,0.5866483553479537,-2.8822313638343604,3.295583008486407,
random_forest,age_group,40-59,411,0.1411192214111922,0.7493406271368566,0.8369829683698297,0.3103448275862069,0.9235127478753541,0.0764872521246459,0.6896551724137931,0.4,0.34951456310679613,0.13967334718730262,1.4661570019759371,-0.8726601404755664,1.3388171424515036,
random_forest,age_group,60+,549,0.28233151183970856,0.7316685770427379,0.5555555555555556,0.9032258064516129,0.41878172588832485,0.5812182741116751,0.0967741935483871,0.3794037940379404,0.5343511450381679,0.2594111207732901,1.3168969908558124,-1.477676594525713,1.7945735853815254,
random_forest,sex,Female,749,0.13618157543391188,0.8216049943934297,0.8024032042723631,0.6764705882352942,0.8222565687789799,0.1777434312210201,0.3235294117647059,0.375,0.4825174825174825,0.13561322146947177,1.142724383735482,-1.2591168853432109,1.4018412690786928,
random_forest,sex,Male,714,0.1638655462184874,0.8445647038611863,0.7633053221288515,0.7606837606837606,0.7638190954773869,0.23618090452261306,0.23931623931623933,0.3869565217391304,0.5129682997118156,0.15061808034791876,1.227812365313614,-1.3642489933156052,1.5920613586292192,
random_forest,education,9th-11th grade,161,0.19875776397515527,0.815406976744186,0.7329192546583851,0.65625,0.751937984496124,0.24806201550387597,0.34375,0.39622641509433965,0.49411764705882355,0.1533161471285041,1.219162262273429,-0.9693161864188079,1.188478448692237,
