model,subgroup_variable,subgroup,metric,estimate,ci_low,ci_high,warning
xgboost,race_ethnicity,Non-Hispanic Black,auc,0.8077731092436975,0.753145312454599,0.8571512020041432,
xgboost,race_ethnicity,Non-Hispanic Black,sensitivity,0.14285714285714285,0.05555555555555555,0.24107598978288633,
xgboost,race_ethnicity,Non-Hispanic Black,specificity,0.972318339100346,0.9506949352179034,0.9896381696694905,
xgboost,race_ethnicity,Non-Hispanic Black,false_positive_rate,0.02768166089965398,0.010361830330509485,0.04930506478209658,
xgboost,race_ethnicity,Non-Hispanic Black,false_negative_rate,0.8571428571428571,0.7589240102171136,0.9444444444444444,
xgboost,race_ethnicity,Non-Hispanic Black,brier_score,,0.09221279058390568,0.1368282861784339,
xgboost,race_ethnicity,Non-Hispanic White,auc,0.8550372529964366,0.809627680281127,0.894313446969697,
xgboost,race_ethnicity,Non-Hispanic White,sensitivity,0.2727272727272727,0.18567753623188404,0.3818838028169014,
xgboost,race_ethnicity,Non-Hispanic White,specificity,0.9750566893424036,0.9612243863116289,0.9889664852114838,
xgboost,race_ethnicity,Non-Hispanic White,false_positive_rate,0.024943310657596373,0.011033514788516177,0.03877561368837112,
xgboost,race_ethnicity,Non-Hispanic White,false_negative_rate,0.7272727272727273,0.6181161971830986,0.8143224637681159,
xgboost,race_ethnicity,Non-Hispanic White,brier_score,,0.08330517046590048,0.11342026078154654,
xgboost,race_ethnicity,Other Hispanic,auc,0.8441964285714285,0.7413361020545464,0.9206746366902616,
xgboost,race_ethnicity,Other Hispanic,sensitivity,0.05,0.0,0.16057692307692278,
xgboost,race_ethnicity,Other Hispanic,specificity,0.9732142857142857,0.9383112094395281,1.0,
xgboost,race_ethnicity,Other Hispanic,false_positive_rate,0.026785714285714284,0.0,0.06168879056047196,
xgboost,race_ethnicity,Other Hispanic,false_negative_rate,0.95,0.8394230769230769,1.0,
xgboost,race_ethnicity,Other Hispanic,brier_score,,0.07458218147138279,0.14872607991593542,
xgboost,race_ethnicity,Other/Multi-racial,auc,0.9016393442622951,0.7897340029761906,0.9833425951653236,
xgboost,race_ethnicity,Other/Multi-racial,sensitivity,0.2857142857142857,0.0,0.6666666666666666,
xgboost,race_ethnicity,Other/Multi-racial,specificity,0.9672131147540983,0.9173155737704918,1.0,
xgboost,race_ethnicity,Other/Multi-racial,false_positive_rate,0.03278688524590164,0.0,0.08268442622950815,
xgboost,race_ethnicity,Other/Multi-racial,false_negative_rate,0.7142857142857143,0.3333333333333333,1.0,
xgboost,race_ethnicity,Other/Multi-racial,brier_score,,0.03914868694602464,0.11470599808477569,
