model,subgroup_variable,subgroup,n,brier_score,calibration_slope,calibration_intercept,warning
random_forest,education,College graduate,343,0.12254514782980067,1.2981388952290178,-1.4311733625151473,
random_forest,education,High school/GED,325,0.16137462814432835,1.0491777552538575,-1.3790645213728108,
random_forest,education,Less than 9th grade,115,0.20703696821812198,1.234321952407366,-1.0842766049369332,
random_forest,education,Some college/AA,441,0.14842965234078828,1.1018415214657398,-1.3678836924055642,
random_forest,poverty_group,101-200% FPL,333,0.17877605058857232,0.9210307429042102,-1.430326974734117,
random_forest,poverty_group,201-400% FPL,329,0.11968710887971869,1.5108460887853699,-1.2941039208991623,
random_forest,poverty_group,<=100% FPL,268,0.1318081107538343,1.4010679070412768,-0.9886657727068594,
random_forest,poverty_group,>400% FPL,328,0.1308943983811748,1.213779402664691,-1.4299426832705049,
random_forest,race_ethnicity,Mexican American,193,0.13078924074296927,1.1893970403652792,-1.221749993695127,
random_forest,race_ethnicity,Non-Hispanic Asian,207,0.11761357361252824,1.0767512232451317,-0.9308562228295293,
random_forest,race_ethnicity,Non-Hispanic Black,345,0.15559540162060662,1.2213992312265547,-1.2716227511292026,
random_forest,race_ethnicity,Non-Hispanic White,518,0.1573785291667714,1.2730941370852025,-1.5519044635152144,
random_forest,race_ethnicity,Other Hispanic,132,0.1277536365772267,1.3028486336741332,-1.0897121823737164,
random_forest,race_ethnicity,Other/Multi-racial,68,0.10972510812016398,1.1823109993585408,-1.4952843738664698,
xgboost,age_group,18-39,503,0.011684385128319263,0.9587708753931272,-0.6988802851123836,
xgboost,age_group,40-59,411,0.10625515133142471,1.214515023728765,0.41377156257169906,
xgboost,age_group,60+,549,0.17774342000484467,0.9442480127908561,-0.0951642506716807,
xgboost,sex,Female,749,0.09916051477193832,0.9477280014800992,-0.06003445200834993,
xgboost,sex,Male,714,0.1020420640707016,1.1732425912703104,0.06927375863260248,
xgboost,education,9th-11th grade,161,0.13474005460739136,0.9577855811361693,0.28028698744082975,
xgboost,education,College graduate,343,0.07531581819057465,1.3049997649496057,0.17141600905289694,
xgboost,education,High school/GED,325,0.10545196384191513,0.9529878106802966,-0.17628240748052637,
xgboost,education,Less than 9th grade,115,0.17612724006175995,0.9737537347642049,0.08077509309729927,
xgboost,education,Some college/AA,441,0.10211281478404999,0.9905318702750258,-0.09224117698635471,
xgboost,poverty_group,101-200% FPL,333,0.117924764752388,0.9013088567263167,-0.2823784464052198,
xgboost,poverty_group,201-400% FPL,329,0.08723489940166473,1.2976012450808236,0.4368572239748608,
xgboost,poverty_group,<=100% FPL,268,0.10756710171699524,1.0292018170539423,0.226367577297414,
xgboost,poverty_group,>400% FPL,328,0.08014954626560211,1.249302547543292,0.08126787566921603,
xgboost,race_ethnicity,Mexican American,193,0.09599904716014862,1.1528109343583555,0.05888430838056179,
xgboost,race_ethnicity,Non-Hispanic Asian,207,0.09602024406194687,0.9861874604462131,0.15250187836764623,
xgboost,race_ethnicity,Non-Hispanic Black,345,0.11460678279399872,0.9614318582594824,0.013256028884262472,
xgboost,race_ethnicity,Non-Hispanic White,518,0.09659308940172195,1.2182666882159157,0.026419271960422885,
xgboost,race_ethnicity,Other Hispanic,132,0.10752838850021362,0.9500610417242535,0.182123194201564,
xgboost,race_ethnicity,Other/Multi-racial,68,0.07289604097604752,0.9983593858127064,-0.5503252771938074,
